case_id,customer_id,amount,currency,payment_status,failure_reason,failure_count,customer_attempt_count,days_since_failure,is_customer_active,has_valid_payment_method,scenario_labels
BATCH-000001,CUSTOMER-000001,611.54,INR,EXPIRED,UNKNOWN,0,0,54,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000002,CUSTOMER-000002,2397.29,INR,FAILED,INSUFFICIENT_FUNDS,2,0,1,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000003,CUSTOMER-000003,1268.17,INR,FAILED,CARD_DECLINED,1,1,4,True,False,RECENT_FAILURE|POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000004,CUSTOMER-000004,18817.62,INR,RECOVERABLE,NETWORK_ERROR,2,0,8,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000005,CUSTOMER-000005,14264.65,INR,RECOVERABLE,INSUFFICIENT_FUNDS,5,0,23,True,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE
BATCH-000006,CUSTOMER-000006,403.94,INR,EXPIRED,UNKNOWN,1,1,58,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000007,CUSTOMER-000007,7360.59,INR,FAILED,INSUFFICIENT_FUNDS,2,0,7,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000008,CUSTOMER-000008,5968.37,INR,RECOVERABLE,CARD_DECLINED,3,0,10,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000009,CUSTOMER-000009,11832.98,INR,RECOVERABLE,NETWORK_ERROR,0,0,9,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000010,CUSTOMER-000010,17463.19,INR,FAILED,NETWORK_ERROR,6,2,23,False,False,HIGH_VALUE|POLICY_BLOCKED|ESCALATION_FAVORABLE|NO_ACTION_FAVORABLE
BATCH-000011,CUSTOMER-000011,267.61,INR,EXPIRED,PAYMENT_METHOD_EXPIRED,1,0,53,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000012,CUSTOMER-000012,5040.19,INR,RECOVERABLE,INSUFFICIENT_FUNDS,0,0,2,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
BATCH-000013,CUSTOMER-000013,9905.71,INR,RECOVERABLE,CARD_DECLINED,3,1,12,True,False,POLICY_BLOCKED|CONTACT_FAVORABLE
BATCH-000014,CUSTOMER-000014,42872.1,INR,RECOVERABLE,CARD_DECLINED,1,0,12,True,True,HIGH_VALUE|CONTACT_FAVORABLE|ESCALATION_FAVORABLE
BATCH-000015,CUSTOMER-000015,5008.67,INR,RECOVERABLE,CARD_DECLINED,7,4,25,True,True,POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000016,CUSTOMER-000016,211.7,INR,EXPIRED,UNKNOWN,2,2,48,False,False,LOW_VALUE|AGED_FAILURE|POLICY_BLOCKED|NO_ACTION_FAVORABLE
BATCH-000017,CUSTOMER-000017,5468.98,INR,RECOVERABLE,NETWORK_ERROR,2,0,6,True,True,RECENT_FAILURE|RETRY_FAVORABLE|CONTACT_FAVORABLE
